Time,Predicted Total Active Power (kWh),lat,lon
2023-03-17 11:00:00,263.7468375807754,41.470504,-10.41434
2023-03-17 17:00:00,156.0849228049731,41.470504,-10.41434
2023-03-17 23:00:00,156.38422000434713,41.470504,-10.41434
2023-03-18 05:00:00,156.1597471048166,41.470504,-10.41434
2023-18-10 11:00:00,315.5491149053399,41.470504,-10.41434
2023-03-18 17:00:00,353.9178846244638,41.470504,-10.41434
2023-03-18 23:00:00,304.6389388351265,41.470504,-10.41434
2023-03-19 05:00:00,216.77850034968648,41.470504,-10.41434
2023-03-19 11:00:00,108.1557006986631,41.470504,-10.41434
2023-03-19 17:00:00,13.288821275510495,41.470504,-10.41434
2023-03-19 23:00:00,-28.873425110014576,41.470504,-10.41434
2023-03-20 05:00:00,-3.553031451673325,41.470504,-10.41434
2023-03-20 11:00:00,100.26781983522422,41.470504,-10.41434
2023-03-20 17:00:00,155.33667980653811,41.470504,-10.41434
2023-03-20 23:00:00,211.61562366048489,41.470504,-10.41434
2023-03-21 05:00:00,161.24779949417476,41.470504,-10.41434
2023-03-21 11:00:00,34.93381572548106,41.470504,-10.41434
2023-03-21 17:00:00,12.406145455093482,41.470504,-10.41434
2023-03-21 23:00:00,33.988287212600646,41.470504,-10.41434
2023-03-22 05:00:00,12.967848249904316,41.470504,-10.41434
2023-03-22 11:00:00,-0.5887019555786333,41.470504,-10.41434
